Etiqueta,# Muestras,Media,Mín,Máx,Desv. Estándar,% Error,Rendimiento,Kb/sec,Sent KB/sec,Media de Bytes
Petición HTTP,500,561,0,3988,1052.25,79.600%,123.76238,391.38,10.55,3238.2
Total,500,561,0,3988,1052.25,79.600%,123.76238,391.38,10.55,3238.2
